Point, Distance, Depth, Resistivity
T3_-0.1838r, -0.1838, 0.854, 3216.3
T3_-0.1838r, -0.1838, 1.79, 23818.9
T3_-0.1838r, -0.1838, 2.83, 26857.3
T3_-0.1838r, -0.1838, 3.97, 22105.4
T3_-0.1838r, -0.1838, 5.22, 8680.1
T3_-0.1838r, -0.1838, 6.59, 1757.9
T3_-0.1838r, -0.1838, 8.11, 709.95
T3_-0.1838r, -0.1838, 9.77, 1103.6
T3_-0.1838r, -0.1838, 11.6, 3178.9
T3_2.3162r, 2.3162, 0.854, 3633.2
T3_2.3162r, 2.3162, 1.79, 18742.8
T3_2.3162r, 2.3162, 2.83, 22805.8
T3_2.3162r, 2.3162, 3.97, 20384.7
T3_2.3162r, 2.3162, 5.22, 10618.4
T3_2.3162r, 2.3162, 6.59, 3137.5
T3_2.3162r, 2.3162, 8.11, 1775
T3_2.3162r, 2.3162, 9.77, 3412.9
T3_2.3162r, 2.3162, 11.6, 14227.1
T3_4.8162r, 4.8162, 0.854, 9989.8
T3_4.8162r, 4.8162, 1.79, 8858.5
T3_4.8162r, 4.8162, 2.83, 11925
T3_4.8162r, 4.8162, 3.97, 12950
T3_4.8162r, 4.8162, 5.22, 9588.3
T3_4.8162r, 4.8162, 6.59, 6005.1
T3_4.8162r, 4.8162, 8.11, 5793.6
T3_4.8162r, 4.8162, 9.77, 9542.9
T3_4.8162r, 4.8162, 11.6, 18082.4
T3_7.3162r, 7.3162, 0.854, 12992.3
T3_7.3162r, 7.3162, 1.79, 7661.7
T3_7.3162r, 7.3162, 2.83, 7613.3
T3_7.3162r, 7.3162, 3.97, 8031.9
T3_7.3162r, 7.3162, 5.22, 7893.2
T3_7.3162r, 7.3162, 6.59, 8400.9
T3_7.3162r, 7.3162, 8.11, 10585.1
T3_7.3162r, 7.3162, 9.77, 14231.7
T3_7.3162r, 7.3162, 11.6, 20690.5
T3_9.8162r, 9.8162, 0.854, 6753.8
T3_9.8162r, 9.8162, 1.79, 5579.3
T3_9.8162r, 9.8162, 2.83, 5928.7
T3_9.8162r, 9.8162, 3.97, 5681.6
T3_9.8162r, 9.8162, 5.22, 5635.9
T3_9.8162r, 9.8162, 6.59, 6916
T3_9.8162r, 9.8162, 8.11, 10125.5
T3_9.8162r, 9.8162, 9.77, 15009.6
T3_9.8162r, 9.8162, 11.6, 24098
T3_12.3162r, 12.3162, 0.854, 4148.7
T3_12.3162r, 12.3162, 1.79, 6979.6
T3_12.3162r, 12.3162, 2.83, 7056.7
T3_12.3162r, 12.3162, 3.97, 5626.1
T3_12.3162r, 12.3162, 5.22, 5072.6
T3_12.3162r, 12.3162, 6.59, 6413.1
T3_12.3162r, 12.3162, 8.11, 10258.3
T3_12.3162r, 12.3162, 9.77, 16877.6
T3_12.3162r, 12.3162, 11.6, 32911
T3_14.8162r, 14.8162, 0.854, 3474.2
T3_14.8162r, 14.8162, 1.79, 2066.8
T3_14.8162r, 14.8162, 2.83, 3803.7
T3_14.8162r, 14.8162, 3.97, 6104.7
T3_14.8162r, 14.8162, 5.22, 6757.1
T3_14.8162r, 14.8162, 6.59, 6975.7
T3_14.8162r, 14.8162, 8.11, 8186.2
T3_14.8162r, 14.8162, 9.77, 11332.5
T3_14.8162r, 14.8162, 11.6, 18885.3
T3_17.3162r, 17.3162, 0.854, 3204.6
T3_17.3162r, 17.3162, 1.79, 2123.1
T3_17.3162r, 17.3162, 2.83, 4373.9
T3_17.3162r, 17.3162, 3.97, 6181.2
T3_17.3162r, 17.3162, 5.22, 4971.3
T3_17.3162r, 17.3162, 6.59, 3396.6
T3_17.3162r, 17.3162, 8.11, 2826.2
T3_17.3162r, 17.3162, 9.77, 3369.9
T3_17.3162r, 17.3162, 11.6, 5545.7
T3_19.8162r, 19.8162, 0.854, 2390.5
T3_19.8162r, 19.8162, 1.79, 1584.1
T3_19.8162r, 19.8162, 2.83, 1205.3
T3_19.8162r, 19.8162, 3.97, 961.88
T3_19.8162r, 19.8162, 5.22, 666.34
T3_19.8162r, 19.8162, 6.59, 494.4
T3_19.8162r, 19.8162, 8.11, 481.48
T3_19.8162r, 19.8162, 9.77, 654.77
T3_19.8162r, 19.8162, 11.6, 1121.8
T3_22.3162r, 22.3162, 0.854, 1293
T3_22.3162r, 22.3162, 1.79, 4035.4
T3_22.3162r, 22.3162, 2.83, 5222.3
T3_22.3162r, 22.3162, 3.97, 3656.3
T3_22.3162r, 22.3162, 5.22, 1821.9
T3_22.3162r, 22.3162, 6.59, 878.22
T3_22.3162r, 22.3162, 8.11, 530.47
T3_22.3162r, 22.3162, 9.77, 493.82
T3_22.3162r, 22.3162, 11.6, 728.1
T3_24.8162r, 24.8162, 0.854, 1163.5
T3_24.8162r, 24.8162, 1.79, 1116.4
T3_24.8162r, 24.8162, 2.83, 1671
T3_24.8162r, 24.8162, 3.97, 1581.6
T3_24.8162r, 24.8162, 5.22, 961.17
T3_24.8162r, 24.8162, 6.59, 549.25
T3_24.8162r, 24.8162, 8.11, 397.59
T3_24.8162r, 24.8162, 9.77, 444.12
T3_24.8162r, 24.8162, 11.6, 756.42
T3_27.3162r, 27.3162, 0.854, 1296.1
T3_27.3162r, 27.3162, 1.79, 1114.8
T3_27.3162r, 27.3162, 2.83, 1450.7
T3_27.3162r, 27.3162, 3.97, 1083.6
T3_27.3162r, 27.3162, 5.22, 518.01
T3_27.3162r, 27.3162, 6.59, 274.33
T3_27.3162r, 27.3162, 8.11, 242.34
T3_27.3162r, 27.3162, 9.77, 402.61
T3_27.3162r, 27.3162, 11.6, 958.37
T3_29.8162r, 29.8162, 0.854, 834.47
T3_29.8162r, 29.8162, 1.79, 844.3
T3_29.8162r, 29.8162, 2.83, 1030
T3_29.8162r, 29.8162, 3.97, 588.29
T3_29.8162r, 29.8162, 5.22, 246.63
T3_29.8162r, 29.8162, 6.59, 169.93
T3_29.8162r, 29.8162, 8.11, 209.84
T3_29.8162r, 29.8162, 9.77, 494.96
T3_29.8162r, 29.8162, 11.6, 1462.4
T3_32.3162r, 32.3162, 0.854, 586.79
T3_32.3162r, 32.3162, 1.79, 2716.7
T3_32.3162r, 32.3162, 2.83, 1413
T3_32.3162r, 32.3162, 3.97, 412.51
T3_32.3162r, 32.3162, 5.22, 181.36
T3_32.3162r, 32.3162, 6.59, 161.49
T3_32.3162r, 32.3162, 8.11, 261.43
T3_32.3162r, 32.3162, 9.77, 739.31
